well_id,well_name,group_name
44676,Bauer 2,Pumping Unit Wells
44677,Bauer 3,Pumping Unit Wells
44678,McCloskey 42 3,Pumping Unit Wells
44679,Slaughter 87A 1,Pumping Unit Wells
44680,Abraxas 32B 8,Pumping Unit Wells
44681,Schneider A 1,Pumping Unit Wells
44682,Abraxas 31C 2,Pumping Unit Wells
44684,Williams 6 2,Pumping Unit Wells
44685,Hale 1524,Pumping Unit Wells
44686,Slaughter -C- 1,Pumping Unit Wells
44687,Butchee 21 6,Pumping Unit Wells
44688,Foster 41 1,Pumping Unit Wells
44690,Beckham 1,Pumping Unit Wells
44691,Hale 1441,Pumping Unit Wells
44692,Deatherage 18 1,Pumping Unit Wells
44693,Slaughter 87A 2,Pumping Unit Wells
44695,Abraxas 30 3,Pumping Unit Wells
44696,Oneil 4 3,Pumping Unit Wells
44697,Butchee 21 1,Pumping Unit Wells
44698,Slaughter 87B 1,Pumping Unit Wells
44699,Deatherage 23 1,Pumping Unit Wells
44700,Lucy 1,Pumping Unit Wells
44701,Slaughter 75A 1,Pumping Unit Wells
44702,Middleton 2,Pumping Unit Wells
44703,Richards 44 3,Pumping Unit Wells
44705,Cook 22 8,Pumping Unit Wells
44706,Nichols 24 1,Pumping Unit Wells
44707,Richards 44 4,Pumping Unit Wells
44708,Slaughter 533,Pumping Unit Wells
44709,Abraxas 27 1,Pumping Unit Wells
44711,Slaughter -B- 4,Pumping Unit Wells
44712,Abraxas 27 4,Pumping Unit Wells
44714,Abraxas 32 12,Pumping Unit Wells
44715,Elma L Slaughter G 1,Pumping Unit Wells
44716,Elma L Slaughter 1,Pumping Unit Wells
44718,Hale 1521,Pumping Unit Wells
44719,Slaughter 514,Pumping Unit Wells
44720,Williams 6 1,Pumping Unit Wells
44721,Baldwin 7 2,Pumping Unit Wells
44723,Slaughter 29B 1,Pumping Unit Wells
44724,Butchee 21 2,Pumping Unit Wells
44728,Abraxas 32B 10,Pumping Unit Wells
44731,Abraxas 31B 1,Pumping Unit Wells
44732,Slaughter B-3 1,Pumping Unit Wells
44734,Garner 7 1,Pumping Unit Wells
44735,Cook 21 3,Pumping Unit Wells
44736,Baldwin 7 1,Pumping Unit Wells
44737,Abraxas 32C 1,Pumping Unit Wells
44738,Snell 43A 1,Pumping Unit Wells
44739,Yates 82 4,Pumping Unit Wells
44740,Abraxas 31 1,Pumping Unit Wells
44741,Deatherage 18 3,Pumping Unit Wells
44742,McCloskey 42 1,Pumping Unit Wells
44746,Grace 1,Pumping Unit Wells
44747,Richards 44B Pooled Unit 1,Pumping Unit Wells
44748,Glasscock 7 2,Pumping Unit Wells
44749,Rawlings 43 2,Pumping Unit Wells
44752,Slaughter 29D 1,Pumping Unit Wells
44753,Abraxas 28D 2,Pumping Unit Wells
44754,McCloskey 42A 1,Pumping Unit Wells
44755,Richards 41 1,Pumping Unit Wells
44757,Thomas A 1544,Pumping Unit Wells
44759,Bauer 5,Pumping Unit Wells
44760,Holcomb 45 3,Pumping Unit Wells
44762,Abraxas 28 1,Pumping Unit Wells
44763,Slaughter 17 2,Pumping Unit Wells
44766,Abraxas 28E 1,Pumping Unit Wells
44767,Nance 19 4,Pumping Unit Wells
44768,Abraxas 27A 2,Pumping Unit Wells
44769,Abraxas 30A 1,Pumping Unit Wells
44771,McCloskey 42B 2,Pumping Unit Wells
44772,Abraxas 30B 1,Pumping Unit Wells
44773,Butchee 22B 4,Pumping Unit Wells
44774,Slaughter 29A 1,Pumping Unit Wells
